p,n29_P接收,n22_P接收
0.0,1.0,1.0
0.001,0.9714023696327184,0.9782294672887404
0.002,0.9435951442460425,0.9569117962020655
0.003,0.916557237316439,0.9360380061698599
0.004,0.8902681045712687,0.9155992859768254
0.005,0.8647077305675337,0.8955869907338783
0.006,0.8398566155898439,0.8759926389007507
0.007,0.8156957628603182,0.8568079093589799
0.008,0.792206666053297,0.8380246385344802
0.009000000000000001,0.7693712971078978,0.8196348175689091
0.01,0.7471720943315961,0.8016305895390459
0.011,0.7255919507881686,0.7840042467234158
0.012,0.7046142029634737,0.7667482279154043
0.013000000000000001,0.6842226197026965,0.7498551157821138
0.014,0.6644013914128184,0.7333176342682328
0.015,0.6451351195242123,0.7171286460441916
0.016,0.6264088062053984,0.7012811499978948
0.017,0.6082078443251255,0.6857682787693288
0.018000000000000002,0.5905180076560737,0.670583296327353
0.019,0.573325441314598,0.6557195955879974
0.02,0.5566166524310581,0.6411706960735924
0.021,0.5403785010453982,0.6269302416120763
0.022,0.5245981912227604,0.6129919980758263
0.023,0.5092632623840301,0.5993498511593771
0.024,0.49436158084632537,0.585997804195394
0.025,0.4798813315685538,0.5729299760082821
0.026000000000000002,0.46581101009726655,0.5601405988048189
0.027,0.4521394147081487,0.5476240161012113
0.028,0.4388556387385866,0.5353746806859803
0.029,0.4259490631068544,0.523387152618095
0.03,0.4134093490135644,0.5116560972597762
0.031,0.4012264308211196,0.5001762833434082
0.032,0.3893905091070039,0.4889425810719988
0.033,0.37789204388684006,0.47794996025264
0.034,0.36672174800323337,0.46719348846243
0.035,0.3558705806765121,0.4566683292463226
0.036000000000000004,0.34532974121356047,0.4463697403463827
0.037,0.3350906628710264,0.43629307196193057
0.038,0.3251450068692711,0.4264337650400678
0.039,0.31548465655350666,0.41678734959608554
0.04,0.3061017116986515,0.4073494430632618
0.041,0.2969884829545089,0.3981157486715649
0.042,0.2881374864279522,0.38908205385478395
0.043000000000000003,0.2795414383988752,0.38024422868561897
0.044,0.27119325016673906,0.37159822433826684
0.045,0.2630860230246195,0.36314007157804784
0.046,0.25521304335772793,0.35486587927762603
0.047,0.2475677778634496,0.34677183295938063
0.048,0.24014386889000808,0.3388541933634955
0.049,0.23293512989093224,0.3311092950413383
0.05,0.22593554099256555,0.323533544973709
0.051000000000000004,0.21913924467192125,0.3161234212135437
0.052000000000000005,0.21254054154224739,0.3088754715526647
0.053,0.20613388624372722,0.3017863122121775
0.054,0.1999138834367988,0.29485262655611755
0.055,0.19387528389563521,0.2880711638279592
0.056,0.1880129806993834,0.2814387379096036
0.057,0.18232200551881475,0.2749522261024683
0.058,0.17679752499609452,0.2686085679303088
0.059000000000000004,0.17143483721543012,0.26240476396340573
0.06,0.16622936826240908,0.25633787466375935
0.061,0.16117666886988993,0.25040501925093794
0.062,0.15627241114835283,0.24460337458822762
0.063,0.1515123853986818,0.2389301740887555
0.064,0.14689249700536244,0.23338270664122165
0.065,0.1424087634081782,0.22795831555494495
0.066,0.13805731115047085,0.22265439752385627
0.067,0.13383437300213927,0.21746840160915756
0.068,0.12973628515553068,0.21239782824029185
0.069,0.12575948449248237,0.2074402282339505
0.07,0.12190050592075256,0.20259320183077525
0.07100000000000001,0.11815597977817927,0.19785439774948912
0.07200000000000001,0.11452262930288666,0.1932215122581247
0.073,0.1109972681679541,0.18869228826209264
0.074,0.10757679807894611,0.1842645144087699
0.075,0.10425820643278834,0.17993602420835464
0.076,0.10103856403647025,0.1757046951706885
0.077,0.09791502288411649,0.1715684479577839
0.078,0.0948848139909913,0.16752524555178355
0.079,0.09194524528303767,0.1635730924380881
0.08,0.08909369954058512,0.15971003380339116
0.081,0.08632763239489227,0.15593415474836556
0.082,0.0836445703762219,0.15224357951474868
0.083,0.08104210901217676,0.14863647072657848
0.084,0.07851791097505455,0.14511102864533634
0.085,0.07606970427700996,0.14166549043875665
0.08600000000000001,0.07369528051184007,0.13829812946306658
0.08700000000000001,0.07139249314223783,0.13500725455842377
0.088,0.06915925583138541,0.1317912093573235
0.089,0.06699354081778627,0.12864837160574996
0.09,0.06489337733226094,0.1255771524968507
0.091,0.06285685005605693,0.12257599601691646
0.092,0.06088209761904832,0.11964337830345237
0.093,0.0589673111370253,0.11677780701512959
0.094,0.05711073278709706,0.1139778207134107
0.095,0.055310654420255706,0.11124198825564463
0.096,0.053565416210171,0.10856890819943091
0.097,0.05187340533730828,0.10595720821805597
0.098,0.05023305470748363,0.10340554452680768
0.099,0.048642841703991725,0.10091260131997729
0.1,0.047101286972462485,0.09847709021836118
0.101,0.04560695323762293,0.09609774972707807
0.10200000000000001,0.04415844415116068,0.09377334470352003
0.10300000000000001,0.042754403169904635,0.09150266583525882
0.10400000000000001,0.0413935124635576,0.0892845291277323
0.105,0.040074491851233913,0.08711777540153806
0.106,0.038796097766073324,0.0850012697991645
0.107,0.03755712224721994,0.0829339013009926
0.108,0.03635639195847241,0.0809145822504041
0.109,0.03519276723292832,0.07894224788783467
0.11,0.0340651411429621,0.07701585589361327
0.111,0.032972438594892094,0.07513438593943174
0.112,0.03191361544770788,0.07329683924829086
0.113,0.030887657655244413,0.07150223816277233
0.114,0.029893580431204533,0.0697496257214878
0.115,0.028930427436445857,0.06803806524355926
0.116,0.027997269987962644,0.06636663992098747
0.117,0.027093206289006883,0.06473445241876684
0.11800000000000001,0.02621736067980667,0.0631406244826086
0.11900000000000001,0.025368882908353183,0.061584296554135484
0.12,0.024546947420740508,0.06006462739341401
0.121,0.023750752670555413,0.058580793708692507
0.122,0.022979520446826367,0.057131989793215224
0.123,0.022232495220053314,0.055717427168985166
0.124,0.021508943505851537,0.054336334237350355
0.125,0.02080815324575442,0.05298795593629036
0.126,0.02012943320473119,0.05167155340428205
0.127,0.0194721123849868,0.050386403650625564
0.128,0.018835539455621705,0.04913179923211351
0.129,0.018219082197739926,0.047907047935928364
0.13,0.017622126964603867,0.046711472468655056
0.131,0.017044078156444504,0.04554441015129763
