n,拒收判定可靠度_1_0.9^n,接收判定出错概率_0.9^n
1,0.09999999999999998,0.9
2,0.18999999999999995,0.81
3,0.2709999999999999,0.7290000000000001
4,0.3439,0.6561
5,0.40950999999999993,0.5904900000000001
6,0.46855899999999995,0.531441
7,0.5217030999999999,0.4782969000000001
8,0.5695327899999999,0.4304672100000001
9,0.6125795109999999,0.3874204890000001
10,0.6513215599,0.3486784401000001
11,0.6861894039099999,0.31381059609000006
12,0.7175704635189999,0.2824295364810001
13,0.7458134171670999,0.2541865828329001
14,0.7712320754503899,0.2287679245496101
15,0.794108867905351,0.20589113209464907
16,0.8146979811148158,0.18530201888518416
17,0.8332281830033342,0.16677181699666577
18,0.8499053647030008,0.15009463529699918
19,0.8649148282327007,0.13508517176729928
20,0.8784233454094307,0.12157665459056935
21,0.8905810108684876,0.10941898913151242
22,0.9015229097816388,0.09847709021836118
23,0.9113706188034749,0.08862938119652507
24,0.9202335569231275,0.07976644307687256
25,0.9282102012308147,0.0717897987691853
26,0.9353891811077333,0.06461081889226677
27,0.94185026299696,0.058149737003040096
28,0.9476652366972639,0.05233476330273609
29,0.9528987130275375,0.047101286972462485
30,0.9576088417247838,0.04239115827521624
31,0.9618479575523053,0.038152042447694615
32,0.9656631617970749,0.03433683820292515
33,0.9690968456173674,0.030903154382632636
34,0.9721871610556306,0.027812838944369374
35,0.9749684449500675,0.025031555049932437
36,0.9774716004550608,0.022528399544939195
37,0.9797244404095548,0.020275559590445275
38,0.9817519963685992,0.01824800363140075
39,0.9835767967317394,0.016423203268260675
40,0.9852191170585654,0.014780882941434608
