x1,x2,x3,x4,q,income,cost_part,cost_assembly,cost_final_test,cost_disassemble,cost_recover,cost_switch,profit,情形,是否最优
0,0,0,1,0.2709999999999999,53.7695,22.0,8.2305,0.0,1.8587,0.0,2.2305,21.6804,1,★
1,0,0,1,0.18999999999999995,54.5926,24.6667,7.4074,0.0,1.1728,0.6255,1.4074,20.7202,1,
0,0,1,1,0.2709999999999999,56.0,22.0,8.2305,4.1152,1.8587,0.0,0.0,19.7956,1,
1,0,1,1,0.18999999999999995,56.0,24.6667,7.4074,3.7037,1.1728,0.6255,0.0,18.4239,1,
0,1,0,1,0.18999999999999995,54.5926,27.3333,7.4074,0.0,1.1728,1.251,1.4074,17.428,1,
1,1,0,1,0.09999999999999998,55.3333,30.0,6.6667,0.0,0.5556,0.8889,0.6667,17.2222,1,
1,0,0,0,0.18999999999999995,54.5926,30.4527,7.4074,0.0,0.0,0.0,1.4074,16.7325,1,
0,0,0,0,0.2709999999999999,53.7695,30.1783,8.2305,0.0,0.0,0.0,2.2305,15.3608,1,
1,1,0,0,0.09999999999999998,55.3333,33.3333,6.6667,0.0,0.0,0.0,0.6667,15.3333,1,
0,1,1,1,0.18999999999999995,56.0,27.3333,7.4074,3.7037,1.1728,1.251,0.0,15.1317,1,
1,1,1,1,0.09999999999999998,56.0,30.0,6.6667,3.3333,0.5556,0.8889,0.0,14.5556,1,
1,0,1,0,0.18999999999999995,56.0,30.4527,7.4074,3.7037,0.0,0.0,0.0,14.4362,1,
0,0,1,0,0.2709999999999999,56.0,30.1783,8.2305,4.1152,0.0,0.0,0.0,13.476,1,
0,1,0,0,0.18999999999999995,54.5926,33.7449,7.4074,0.0,0.0,0.0,1.4074,13.4403,1,
1,1,1,0,0.09999999999999998,56.0,33.3333,6.6667,3.3333,0.0,0.0,0.0,12.6667,1,
0,1,1,0,0.18999999999999995,56.0,33.7449,7.4074,3.7037,0.0,0.0,0.0,11.144,1,
1,0,0,1,0.3599999999999999,52.625,25.5,9.375,0.0,2.8125,1.9687,3.375,12.9688,2,★
0,0,0,1,0.4879999999999999,50.2812,22.0,11.7187,0.0,4.7656,0.0,5.7187,11.7969,2,
0,0,1,1,0.4879999999999999,56.0,22.0,11.7187,5.8594,4.7656,0.0,0.0,11.6563,2,
1,0,1,1,0.3599999999999999,56.0,25.5,9.375,4.6875,2.8125,1.9687,0.0,11.6563,2,
1,1,0,1,0.19999999999999996,54.5,33.75,7.5,0.0,1.25,2.9375,1.5,9.0625,2,
1,1,1,1,0.19999999999999996,56.0,33.75,7.5,3.75,1.25,2.9375,0.0,6.8125,2,
0,1,0,1,0.3599999999999999,52.625,30.25,9.375,0.0,2.8125,4.6406,3.375,5.5469,2,
1,1,0,0,0.19999999999999996,54.5,42.1875,7.5,0.0,0.0,0.0,1.5,4.8125,2,
0,1,1,1,0.3599999999999999,56.0,30.25,9.375,4.6875,2.8125,4.6406,0.0,4.2344,2,
