p1,c1,d1,p2,c2,d2,p0,a,d0,s,r,f,x1,x2,x3,x4
0.243,4.0005,3.3017,0.2838,39.8531,1.6796,0.046,4.3507,3.1974,45.2657,30.2604,28.1395,1,1,0,1
0.0548,8.9202,0.3449,0.1735,39.1468,8.0545,0.217,6.2295,2.0476,69.8453,15.346,39.4981,1,0,1,1
0.0903,4.8394,8.1297,0.1086,14.3822,0.9876,0.1742,5.4347,7.1671,55.7686,39.1408,22.4388,0,1,1,0
0.1744,14.509,9.0128,0.0461,13.5821,2.0924,0.3188,9.1998,3.2874,105.0507,18.7411,30.9928,0,0,1,0
0.0954,1.3342,7.0524,0.1312,16.9697,2.9757,0.1029,9.4114,3.0039,68.3038,11.6926,23.227,0,0,1,0
0.2132,6.8842,4.2134,0.3315,6.6874,3.4629,0.1912,9.7799,0.8172,51.7131,4.6043,1.3402,0,0,1,1
0.1263,6.698,8.634,0.0244,30.0682,4.7324,0.2144,3.9031,6.5147,64.1373,21.6712,25.8961,0,0,1,1
0.106,7.109,1.6077,0.252,8.5196,3.0113,0.0921,3.7111,4.6182,47.7261,38.0561,13.3144,1,1,0,1
0.3394,8.9116,1.1534,0.2247,12.3157,3.9642,0.0885,5.6936,5.0994,75.4918,2.9417,41.3363,1,1,0,0
0.1015,7.801,1.5441,0.1466,32.3815,2.6197,0.2987,9.983,5.2531,111.4567,26.4646,7.1053,0,0,1,1
0.2314,9.882,8.0607,0.0618,12.6308,9.3459,0.2057,4.6514,3.6786,65.2263,8.2563,27.0589,0,0,0,0
0.0371,1.8368,2.8106,0.1421,24.7133,9.0933,0.0961,3.9407,1.5059,36.6101,9.4381,10.6853,0,0,1,1
0.3329,13.2306,1.6661,0.2775,5.2287,6.7403,0.1232,6.6516,2.1918,80.5893,46.6588,37.4854,1,1,1,0
0.289,8.1571,9.7474,0.297,26.9372,8.9247,0.0489,4.8299,7.3062,46.2172,5.9987,18.1592,0,0,0,1
0.2567,9.3341,5.4636,0.2651,34.171,0.5039,0.3161,9.8291,7.0746,74.0822,17.9834,6.8734,0,0,1,1
0.2634,2.6771,8.3902,0.0787,7.4621,6.8446,0.1903,4.3559,0.7884,55.5512,43.5741,17.476,0,0,1,0
0.2744,14.8227,8.1826,0.3457,22.0084,9.5283,0.0846,4.4836,5.7093,116.9843,32.8145,26.1994,1,1,0,1
0.3054,4.8478,8.8446,0.0396,12.4997,8.1759,0.2047,12.8809,3.3542,33.0509,29.9279,29.5034,0,0,1,0
0.0599,9.5767,7.5444,0.3376,28.1953,5.8887,0.2345,7.1161,4.5606,69.942,28.5588,29.31,0,0,1,1
0.236,12.8321,1.9273,0.0948,16.2993,9.3591,0.2336,3.6486,2.8186,93.122,11.6341,33.9891,1,0,1,0
0.3295,14.0114,5.0395,0.1327,11.2131,1.7103,0.0402,12.7307,3.0454,52.2668,44.1711,7.0897,0,0,1,1
0.0649,4.6766,8.3818,0.0606,12.0433,9.2867,0.3088,11.0122,1.5584,94.143,49.7096,31.3817,0,0,1,0
0.1983,11.1603,9.0148,0.1584,29.7176,6.3141,0.221,8.1015,3.3459,30.6991,41.0983,23.8918,0,0,1,1
0.228,4.8279,5.435,0.0314,21.9604,5.3743,0.1167,5.5375,5.1544,38.9798,8.0228,9.213,0,0,0,1
0.1333,14.5681,8.5619,0.1643,29.1432,4.2671,0.2761,11.0898,0.5843,83.7247,14.4578,41.6311,0,0,1,1
0.2254,13.6284,8.1944,0.1568,36.3276,9.8378,0.0959,7.5769,1.1194,74.9234,23.7124,22.3148,0,0,1,1
0.0648,8.147,3.9408,0.1609,31.8451,5.1836,0.0272,7.2266,7.2044,56.6045,9.4465,1.3874,0,0,0,1
0.2079,4.0294,3.5047,0.2775,36.1258,2.5682,0.0834,5.7622,7.6837,30.9337,37.5654,42.5935,1,1,0,0
0.1342,3.5708,8.5374,0.0721,30.3613,9.6448,0.1399,3.1902,4.4183,96.6374,25.6733,17.0385,0,0,1,1
0.1597,10.8796,2.6635,0.1901,9.4768,7.4192,0.2486,4.2421,2.2785,57.9211,17.4638,14.7187,0,0,1,1
0.276,1.4836,2.2305,0.2361,11.0655,8.5647,0.2811,12.3984,5.2772,33.9559,48.2373,6.5945,1,0,1,1
0.0314,8.2582,9.1901,0.1306,32.2113,4.931,0.0483,10.3074,7.7369,92.2769,34.0989,27.1139,0,1,0,1
0.0528,6.7364,2.3529,0.213,23.154,0.7944,0.1694,11.6821,3.1171,86.5026,18.6012,4.2171,0,0,1,1
0.0606,1.2485,0.6749,0.2474,11.943,8.6792,0.2737,11.5672,5.5106,113.4531,28.1921,13.0159,1,0,1,1
0.2519,2.8453,3.2076,0.0251,38.6216,3.1454,0.3028,13.6319,4.2821,97.4677,16.9439,18.9928,1,0,1,1
0.319,14.4289,1.1437,0.2885,32.8746,4.4326,0.0284,7.957,5.389,43.1016,29.1551,40.92,1,1,0,1
0.0682,10.5674,4.0876,0.2738,26.4417,4.261,0.1834,2.8734,6.1197,59.3737,48.4013,39.7212,0,1,1,0
0.0618,14.5696,3.8617,0.2536,37.1207,2.3338,0.1075,13.6931,4.7422,65.2762,26.1622,30.9074,1,1,0,1
0.1124,1.056,2.9115,0.3139,17.4517,2.6685,0.1434,8.8913,7.8109,87.2763,6.0771,39.37,1,1,0,0
0.2324,8.2285,0.9175,0.0916,27.6249,2.6873,0.2887,4.6519,6.0868,94.3644,16.8937,24.8512,1,0,0,1
0.3258,4.5232,8.0893,0.2145,12.8591,5.0253,0.0822,8.9874,4.93,102.7103,35.6328,4.8059,0,0,1,1
0.2627,5.1201,2.7168,0.3176,37.4548,3.2732,0.0839,8.306,3.2069,117.6043,14.217,39.2225,1,1,0,1
0.175,9.7107,9.4622,0.1859,30.8428,8.2377,0.2964,8.1936,6.018,43.6564,4.4398,40.3213,0,0,0,1
0.0447,1.8865,7.9044,0.0743,7.5534,3.4154,0.2422,3.5883,6.9739,117.5154,33.0894,33.0382,0,0,1,0
0.0773,9.9012,9.7493,0.3258,17.0085,7.0487,0.0752,9.9825,5.1109,48.0817,17.6437,39.0413,0,1,0,0
0.0939,4.9591,4.7821,0.0851,21.9164,3.7084,0.1621,9.9951,6.9711,62.1547,26.6069,5.4906,0,0,1,1
