参数,参数值,说明,最优策略,策略编号,期望利润
d1,0.5,零配件1检测费,"(1,0,0,1)",9,22.7778
d1,0.75,零配件1检测费,"(1,0,0,1)",9,22.4348
d1,1.0,零配件1检测费,"(1,0,0,1)",9,22.0919
d1,1.25,零配件1检测费,"(1,0,0,1)",9,21.749
d1,1.5,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,1.75,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,2.0,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,2.25,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,2.5,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,2.75,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,3.0,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,3.25,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,3.5,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,3.75,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,4.0,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,4.25,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,4.5,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,4.75,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,5.0,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,5.25,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,5.5,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,5.75,零配件1检测费,"(0,0,0,1)",1,21.6804
d1,6.0,零配件1检测费,"(0,0,0,1)",1,21.6804
d2,0.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,0.75,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,1.0,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,1.25,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,1.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,1.75,零配件2检测费,"(0,0,0,1)",1,21.6804
