情形,"策略(x1,x2,x3,x4)",解析利润,模拟利润,误差%,解析最优,模拟最优
1,"(0,0,0,1)",21.6804,21.7015,0.097,★,★
1,"(1,0,0,1)",20.7202,20.7287,0.041,,
1,"(0,0,1,1)",19.7956,19.813,0.088,,
1,"(1,0,1,1)",18.4239,18.432,0.044,,
1,"(0,1,0,1)",17.428,17.4528,0.142,,
1,"(1,1,0,1)",17.2222,17.1948,0.159,,
1,"(1,0,0,0)",16.7325,16.7435,0.066,,
1,"(0,0,0,0)",15.3608,15.403,0.275,,
1,"(1,1,0,0)",15.3333,15.2577,0.493,,
1,"(0,1,1,1)",15.1317,15.1605,0.19,,
1,"(1,1,1,1)",14.5556,14.5367,0.13,,
1,"(1,0,1,0)",14.4362,14.4468,0.073,,
1,"(0,0,1,0)",13.476,13.5145,0.286,,
1,"(0,1,0,0)",13.4403,13.4425,0.016,,
1,"(1,1,1,0)",12.6667,12.5995,0.53,,
1,"(0,1,1,0)",11.144,11.1502,0.055,,
2,"(1,0,0,1)",12.9688,12.9741,0.041,★,★
2,"(0,0,0,1)",11.7969,11.8079,0.093,,
2,"(0,0,1,1)",11.6563,11.6654,0.078,,
2,"(1,0,1,1)",11.6563,11.6635,0.062,,
2,"(1,1,0,1)",9.0625,9.068,0.061,,
2,"(1,1,1,1)",6.8125,6.8249,0.182,,
2,"(0,1,0,1)",5.5469,5.6146,1.221,,
2,"(1,1,0,0)",4.8125,4.7789,0.698,,
2,"(0,1,1,1)",4.2344,4.3007,1.566,,
2,"(1,0,0,0)",3.4063,3.401,0.156,,
2,"(1,1,1,0)",2.5625,2.5358,1.042,,
2,"(1,0,1,0)",2.0938,2.0904,0.164,,
2,"(0,1,0,0)",-4.0156,-3.9398,1.888,,
2,"(0,0,0,0)",-4.4062,-4.3842,0.5,,
2,"(0,0,1,0)",-4.5469,-4.5267,0.444,,
2,"(0,1,1,0)",-5.3281,-5.2537,1.396,,
3,"(0,0,1,1)",19.7956,19.7776,0.091,★,★
3,"(1,0,1,1)",18.4239,18.3899,0.185,,
3,"(0,1,1,1)",15.1317,15.0667,0.429,,
3,"(1,0,0,1)",15.0905,15.0172,0.486,,
3,"(1,1,0,1)",14.5556,14.4485,0.736,,
3,"(1,1,1,1)",14.5556,14.486,0.478,,
3,"(1,0,1,0)",14.4362,14.3775,0.407,,
3,"(0,0,1,0)",13.476,13.4362,0.295,,
3,"(0,0,0,1)",12.7586,12.706,0.412,,
3,"(1,1,0,0)",12.6667,12.536,1.032,,
3,"(1,1,1,0)",12.6667,12.5735,0.736,,
3,"(0,1,0,1)",11.7984,11.742,0.478,,
3,"(0,1,1,0)",11.144,11.0845,0.534,,
3,"(1,0,0,0)",11.1029,11.0048,0.884,,
3,"(0,1,0,0)",7.8107,7.7597,0.653,,
3,"(0,0,0,0)",6.439,6.3646,1.156,,
4,"(1,0,1,1)",15.1719,15.2707,0.651,★,★
4,"(0,0,1,1)",13.6094,13.6896,0.59,,
4,"(1,1,1,1)",12.75,12.9822,1.822,,
4,"(0,1,1,1)",9.7031,9.8939,1.966,,
4,"(1,1,1,0)",8.5,8.847,4.082,,
4,"(1,1,0,1)",7.75,8.1712,5.435,,
4,"(1,0,1,0)",5.6094,5.7813,3.064,,
4,"(1,1,0,0)",3.5,4.036,15.314,,
4,"(1,0,0,1)",1.4219,1.6411,15.416,,
4,"(0,1,1,0)",0.1406,0.4176,197.048,,
4,"(0,0,1,0)",-2.5937,-2.4085,7.14,,
4,"(0,1,0,1)",-4.0469,-3.714,8.225,,
4,"(1,0,0,0)",-8.1406,-7.8483,3.591,,
4,"(0,0,0,1)",-11.0781,-10.825,2.285,,
4,"(0,1,0,0)",-13.6094,-13.1902,3.08,,
4,"(0,0,0,0)",-27.2812,-26.9231,1.313,,
5,"(0,0,1,1)",18.9383,18.9046,0.178,★,★
5,"(0,0,0,1)",16.5926,16.5382,0.328,,
5,"(0,1,0,1)",15.9753,15.9555,0.124,,
5,"(0,1,1,1)",15.8519,15.8283,0.149,,
5,"(0,1,0,0)",11.9877,11.9758,0.099,,
5,"(0,1,1,0)",11.8642,11.8486,0.131,,
5,"(0,0,1,0)",9.7037,9.626,0.801,,
5,"(1,1,0,1)",8.9074,8.9092,0.02,,
5,"(1,0,1,1)",7.9815,7.9347,0.586,,
5,"(1,1,1,1)",7.7963,7.8014,0.065,,
5,"(0,0,0,0)",7.358,7.2596,1.337,,
5,"(1,1,0,0)",7.0185,7.0133,0.074,,
5,"(1,0,0,1)",6.8704,6.8099,0.881,,
5,"(1,1,1,0)",5.9074,5.9055,0.033,,
5,"(1,0,1,0)",1.3704,1.2945,5.539,,
5,"(1,0,0,0)",0.2593,0.1697,34.555,,
6,"(0,0,0,0)",21.6787,21.7129,0.158,★,★
6,"(1,0,0,0)",21.3288,21.3866,0.271,,
6,"(0,0,1,0)",19.8431,19.871,0.141,,
6,"(1,0,0,1)",19.3842,19.4682,0.434,,
