变量,原值,翻转后值,翻转后利润,利润变化,损失(元/件),边际价值
x1,1,0,63.3558,-2.7311,2.7311,关键
x2,1,0,64.0225,-2.0644,2.0644,关键
x3,1,0,65.578,-0.5089,0.5089,关键
x4,1,0,63.3558,-2.7311,2.7311,关键
x5,1,0,64.0225,-2.0644,2.0644,关键
x6,1,0,65.578,-0.5089,0.5089,关键
x7,1,0,64.0225,-2.0644,2.0644,关键
x8,1,0,65.578,-0.5089,0.5089,关键
y1,0,1,58.0258,-8.0611,8.0611,关键
y2,0,1,58.0258,-8.0611,8.0611,关键
y3,0,1,58.5338,-7.553,7.553,关键
z1,0,1,66.0869,0.0,0.0,冗余
z2,0,1,66.0869,0.0,0.0,冗余
z3,0,1,66.0869,0.0,0.0,冗余
yf,1,0,54.2655,-11.8214,11.8214,关键
zf,1,0,15.0688,-51.018,51.018,关键
