参数,参数值,说明,Σx(检测配件数),Σy(检测半成品数),Σz(拆解半成品数),yf(成品检测),zf(成品拆解),策略码
S,80.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,100.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,120.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,140.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,160.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,180.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,200.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,220.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,240.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,260.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,280.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,300.0,市场售价,8,0,0,1,1,11111111|000|000|11
S,320.0,市场售价,8,0,0,1,1,11111111|000|000|11
F_F,1.0,成品拆解费,5,0,0,1,1,11011010|000|000|11
F_F,4.0,成品拆解费,6,0,0,1,1,11011110|000|000|11
F_F,7.0,成品拆解费,8,0,0,1,1,11111111|000|000|11
F_F,10.0,成品拆解费,8,0,0,1,1,11111111|000|000|11
F_F,13.0,成品拆解费,8,0,0,1,1,11111111|000|000|11
F_F,16.0,成品拆解费,8,0,0,1,1,11111111|000|000|11
F_F,19.0,成品拆解费,8,0,0,1,1,11111111|000|000|11
F_F,22.0,成品拆解费,8,0,0,1,1,11111111|000|000|11
F_F,25.0,成品拆解费,8,0,0,1,1,11111111|000|000|11
F_F,28.0,成品拆解费,5,3,3,0,1,11011010|111|111|01
F_F,31.0,成品拆解费,5,3,3,0,1,11011010|111|111|01
F_F,34.0,成品拆解费,5,3,3,0,1,11011010|111|111|01
F_F,37.0,成品拆解费,5,3,3,0,1,11011010|111|111|01
F_F,40.0,成品拆解费,5,3,3,0,1,11011010|111|111|01
D_H,1.0,半成品检测费(统一),2,3,3,0,1,10010000|111|111|01
D_H,2.0,半成品检测费(统一),4,3,3,0,1,11011000|111|111|01
D_H,3.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,4.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,5.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,6.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,7.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,8.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,9.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,10.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,11.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
D_H,12.0,半成品检测费(统一),8,0,0,1,1,11111111|000|000|11
F_H,1.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,3.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,5.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,7.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,9.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,11.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,13.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,15.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,17.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,19.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,21.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,23.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
F_H,25.0,半成品拆解费(统一),8,0,0,1,1,11111111|000|000|11
