策略码,利润,收入,成本,q_f,q_h1,q_h2,q_h3
11111111|000|000|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11111111|000|001|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11111111|000|010|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11111111|000|011|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11111111|000|100|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11111111|000|101|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11111111|000|110|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11111111|000|111|11,66.0869,200,133.9131,0.3439,0.1,0.1,0.1
11011111|000|000|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11011111|000|001|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11011111|000|010|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11011111|000|011|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11011111|000|100|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11011111|000|101|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11011111|000|110|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11011111|000|111|11,65.578,200,134.422,0.4095,0.19,0.1,0.1
11111011|000|000|11,65.578,200,134.422,0.4095,0.1,0.19,0.1
11111011|000|001|11,65.578,200,134.422,0.4095,0.1,0.19,0.1
11111011|000|010|11,65.578,200,134.422,0.4095,0.1,0.19,0.1
11111011|000|011|11,65.578,200,134.422,0.4095,0.1,0.19,0.1
