情形,n,V(n)
1,0,21.413
1,10,21.3
1,20,21.243
1,30,21.19
1,40,21.129
1,50,21.071
1,60,21.0
1,70,20.944
1,80,20.876
1,90,20.829
1,100,20.75
2,0,12.31
2,10,12.359
2,20,12.31
2,30,12.258
2,40,12.191
2,50,12.12
2,60,12.094
2,70,12.02
2,80,11.957
2,90,11.915
2,100,11.841
3,0,19.576
3,10,19.541
3,20,19.507
3,30,19.444
3,40,19.389
3,50,19.32
3,60,19.263
3,70,19.209
3,80,19.135
3,90,19.088
3,100,19.021
4,0,14.69
4,10,14.574
4,20,14.443
4,30,14.382
4,40,14.294
4,50,14.241
4,60,14.171
4,70,14.096
4,80,14.026
4,90,13.955
4,100,13.896
5,0,18.602
5,10,18.494
5,20,18.441
5,30,18.365
5,40,18.321
5,50,18.251
5,60,18.184
5,70,18.139
5,80,18.067
5,90,18.009
5,100,17.942
6,0,21.423
6,10,21.386
6,20,21.295
6,30,21.235
6,40,21.25
6,50,21.186
6,60,21.16
6,70,21.128
6,80,21.04
6,90,21.012
6,100,20.951
