情形,"观测(k1,k2,k0)",最优策略,后验期望利润
1,"(0, 0, 0)","(0,0,0,1)",21.398
1,"(1, 0, 0)","(0,0,0,1)",20.68
1,"(2, 0, 0)","(1,0,0,1)",19.874
1,"(1, 1, 0)","(0,0,0,1)",19.63
1,"(2, 1, 0)","(1,0,0,1)",18.937
1,"(3, 1, 1)","(1,0,0,1)",17.218
2,"(0, 0, 0)","(1,0,0,1)",17.086
2,"(1, 0, 0)","(1,0,0,1)",16.651
2,"(2, 0, 0)","(1,0,0,1)",16.209
2,"(1, 1, 0)","(1,0,0,1)",15.747
2,"(2, 1, 0)","(1,0,0,1)",15.239
2,"(3, 1, 1)","(1,0,0,1)",14.297
3,"(0, 0, 0)","(0,0,1,1)",19.508
3,"(1, 0, 0)","(0,0,1,1)",18.893
3,"(2, 0, 0)","(0,0,1,1)",18.061
3,"(1, 1, 0)","(0,0,1,1)",18.051
3,"(2, 1, 0)","(0,0,1,1)",17.217
3,"(3, 1, 1)","(1,0,1,1)",15.643
4,"(0, 0, 0)","(1,0,1,1)",14.532
4,"(1, 0, 0)","(1,0,1,1)",13.996
4,"(2, 0, 0)","(1,0,1,1)",13.987
4,"(1, 1, 0)","(1,0,1,1)",12.691
4,"(2, 1, 0)","(1,0,1,1)",12.607
4,"(3, 1, 1)","(1,0,1,1)",10.738
5,"(0, 0, 0)","(0,0,1,1)",18.638
5,"(1, 0, 0)","(0,0,1,1)",17.716
5,"(2, 0, 0)","(0,0,1,1)",17.007
5,"(1, 1, 0)","(0,0,1,1)",16.924
5,"(2, 1, 0)","(0,0,1,1)",15.752
5,"(3, 1, 1)","(0,0,1,1)",14.206
6,"(0, 0, 0)","(0,0,0,0)",21.329
6,"(1, 0, 0)","(1,0,0,0)",20.865
6,"(2, 0, 0)","(1,0,0,0)",20.66
6,"(1, 1, 0)","(1,0,0,0)",19.326
6,"(2, 1, 0)","(1,0,0,0)",19.013
6,"(3, 1, 1)","(1,0,0,0)",16.852
