情形,批量B,检测成本d,最优n*,V(n*),V(0),EVSI
1,100,0.5,0,21.42,21.42,0.0
1,100,2.0,0,21.41,21.41,0.0
1,100,5.0,0,21.39,21.39,0.0
1,1000,0.5,40,21.41,21.4,0.0
1,1000,2.0,0,21.41,21.41,0.0
1,1000,5.0,0,21.41,21.41,0.0
1,10000,0.5,0,21.42,21.42,0.0
1,10000,2.0,80,21.62,21.42,0.21
1,10000,5.0,20,21.45,21.41,0.04
6,100,0.5,0,21.44,21.44,0.0
6,100,2.0,0,21.44,21.44,0.0
6,100,5.0,0,21.43,21.43,0.0
6,1000,0.5,70,21.81,21.44,0.37
6,1000,2.0,20,21.56,21.45,0.11
6,1000,5.0,10,21.5,21.44,0.06
6,10000,0.5,100,21.84,21.44,0.41
6,10000,2.0,100,21.94,21.45,0.49
6,10000,5.0,70,22.09,21.44,0.65
